method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
Ours_GDRO,31337,g0,533,30818,0.83677,0.64446,0.64118,0.2771,0.36408
Ours_GDRO,31337,g1,530,30818,0.9,0.49181,0.64566,0.29092,0.35474
Ours_GDRO,31337,g2,2338,30818,0.79726,0.584,0.64443,0.28944,0.35499
Ours_GDRO,11,g0,533,30818,0.76548,0.58769,0.63233,0.2771,0.35523
Ours_GDRO,11,g1,530,30818,0.9,0.47368,0.60399,0.29092,0.31307
Ours_GDRO,11,g2,2338,30818,0.83704,0.59261,0.62721,0.28944,0.33777
Ours_GDRO,22,g0,533,30818,0.75235,0.60577,0.47974,0.2771,0.20264
Ours_GDRO,22,g1,530,30818,0.74906,0.51299,0.60172,0.29092,0.31079
Ours_GDRO,22,g2,2338,30818,0.78743,0.58971,0.48847,0.28944,0.19904
Ours_GDRO,33,g0,533,30818,0.84991,0.62438,0.56727,0.2771,0.29017
Ours_GDRO,33,g1,530,30818,0.89811,0.47316,0.61163,0.29092,0.3207
Ours_GDRO,33,g2,2338,30818,0.72241,0.55907,0.61917,0.28944,0.32973
Ours_GDRO,44,g0,533,30818,0.74296,0.60365,0.63608,0.2771,0.35898
Ours_GDRO,44,g1,530,30818,0.9,0.47368,0.61115,0.29092,0.32022
Ours_GDRO,44,g2,2338,30818,0.78529,0.58606,0.62197,0.28944,0.33254
Ours_GDRO,55,g0,533,30818,0.69043,0.57924,0.50355,0.2771,0.22645
Ours_GDRO,55,g1,530,30818,0.73962,0.51659,0.51162,0.29092,0.2207
Ours_GDRO,55,g2,2338,30818,0.70445,0.5576,0.61636,0.28944,0.32692
RegretDRO,42,g0,533,30818,0.68293,0.57776,0.52621,0.2771,0.24911
RegretDRO,42,g1,530,30818,0.73019,0.5061,0.64952,0.29092,0.35859
RegretDRO,42,g2,2338,30818,0.6775,0.54069,0.6466,0.28944,0.35716
RegretDRO,1337,g0,533,30818,0.73546,0.60791,0.4275,0.2771,0.1504
RegretDRO,1337,g1,530,30818,0.83396,0.53878,0.61719,0.29092,0.32627
RegretDRO,1337,g2,2338,30818,0.71215,0.55721,0.59021,0.28944,0.30077
RegretDRO,7,g0,533,30818,0.69606,0.5858,0.50424,0.2771,0.22714
RegretDRO,7,g1,530,30818,0.80377,0.53163,0.62333,0.29092,0.3324
RegretDRO,7,g2,2338,30818,0.77074,0.59014,0.51205,0.28944,0.22261
RegretDRO,2024,g0,533,30818,0.66604,0.56891,0.5015,0.2771,0.2244
RegretDRO,2024,g1,530,30818,0.83396,0.53878,0.57869,0.29092,0.28777
RegretDRO,2024,g2,2338,30818,0.74679,0.57748,0.5748,0.28944,0.28536
RegretDRO,31337,g0,533,30818,0.67167,0.5712,0.50946,0.2771,0.23236
RegretDRO,31337,g1,530,30818,0.87736,0.50939,0.54614,0.29092,0.25522
RegretDRO,31337,g2,2338,30818,0.75962,0.58682,0.55804,0.28944,0.2686
RegretDRO,11,g0,533,30818,0.6773,0.57551,0.53514,0.2771,0.25804
RegretDRO,11,g1,530,30818,0.89811,0.55102,0.55866,0.29092,0.26774
RegretDRO,11,g2,2338,30818,0.70359,0.55632,0.61195,0.28944,0.32251
RegretDRO,22,g0,533,30818,0.71107,0.59538,0.5097,0.2771,0.2326
RegretDRO,22,g1,530,30818,0.9,0.47368,0.51884,0.29092,0.22792
RegretDRO,22,g2,2338,30818,0.75021,0.57388,0.54636,0.28944,0.25692
RegretDRO,33,g0,533,30818,0.6773,0.57344,0.52476,0.2771,0.24766
RegretDRO,33,g1,530,30818,0.83019,0.54354,0.5629,0.29092,0.27198
RegretDRO,33,g2,2338,30818,0.74038,0.57627,0.55916,0.28944,0.26972
RegretDRO,44,g0,533,30818,0.73358,0.60132,0.44777,0.2771,0.17067
RegretDRO,44,g1,530,30818,0.88491,0.50012,0.56759,0.29092,0.27667
RegretDRO,44,g2,2338,30818,0.72712,0.56974,0.56765,0.28944,0.27821
RegretDRO,55,g0,533,30818,0.67167,0.57322,0.51381,0.2771,0.23671
RegretDRO,55,g1,530,30818,0.81321,0.53819,0.60184,0.29092,0.31091
RegretDRO,55,g2,2338,30818,0.67365,0.54156,0.65379,0.28944,0.36435
Ours_Regret,42,g0,533,30818,0.6773,0.56919,0.48541,0.2771,0.20831
Ours_Regret,42,g1,530,30818,0.85283,0.55329,0.4415,0.29092,0.15057
Ours_Regret,42,g2,2338,30818,0.76476,0.59016,0.52399,0.28944,0.23455
Ours_Regret,1337,g0,533,30818,0.80863,0.64972,0.40401,0.2771,0.12691
Ours_Regret,1337,g1,530,30818,0.85472,0.57105,0.51599,0.29092,0.22507
Ours_Regret,1337,g2,2338,30818,0.76775,0.59419,0.50521,0.28944,0.21577
Ours_Regret,7,g0,533,30818,0.76923,0.62857,0.43353,0.2771,0.15643
Ours_Regret,7,g1,530,30818,0.81509,0.53954,0.44842,0.29092,0.15749
Ours_Regret,7,g2,2338,30818,0.77331,0.59879,0.51162,0.28944,0.22218
Ours_Regret,2024,g0,533,30818,0.77298,0.6141,0.6203,0.2771,0.3432
Ours_Regret,2024,g1,530,30818,0.89434,0.4893,0.64966,0.29092,0.35874
Ours_Regret,2024,g2,2338,30818,0.76305,0.56479,0.63649,0.28944,0.34705
Ours_Regret,31337,g0,533,30818,0.78236,0.60529,0.63275,0.2771,0.35565
Ours_Regret,31337,g1,530,30818,0.89811,0.47316,0.63992,0.29092,0.34899
Ours_Regret,31337,g2,2338,30818,0.81052,0.57346,0.63686,0.28944,0.34742
Ours_Regret,11,g0,533,30818,0.81614,0.59213,0.63318,0.2771,0.35608
Ours_Regret,11,g1,530,30818,0.9,0.47368,0.61572,0.29092,0.32479
Ours_Regret,11,g2,2338,30818,0.85629,0.57506,0.63124,0.28944,0.3418
Ours_Regret,22,g0,533,30818,0.71295,0.59458,0.48817,0.2771,0.21107
