method,seed,group,n,n_params,accuracy,macro_f1,loss,R_star,excess_loss
Shared_Anchors,33,g1,294,11618,0.72109,0.71491,0.60496,0.37567,0.22928
Shared_Anchors,33,g2,123,11618,0.73171,0.55652,0.57232,0.07576,0.49656
Shared_Anchors,33,g3,200,11618,0.68,0.60694,0.69275,0.42112,0.27163
Shared_Anchors,44,g0,303,11618,0.68317,0.67349,0.61694,0.38184,0.2351
Shared_Anchors,44,g1,294,11618,0.7381,0.7357,0.55887,0.37567,0.1832
Shared_Anchors,44,g2,123,11618,0.68293,0.51279,0.57414,0.07576,0.49838
Shared_Anchors,44,g3,200,11618,0.68,0.58296,0.66928,0.42112,0.24816
Shared_Anchors,55,g0,303,11618,0.74587,0.74432,0.62184,0.38184,0.23999
Shared_Anchors,55,g1,294,11618,0.78571,0.78075,0.54224,0.37567,0.16656
Shared_Anchors,55,g2,123,11618,0.69106,0.51432,0.6208,0.07576,0.54504
Shared_Anchors,55,g3,200,11618,0.675,0.58538,0.75497,0.42112,0.33385
Shared_Anchors_GDRO,42,g0,303,11618,0.70957,0.70649,0.61435,0.38184,0.23251
Shared_Anchors_GDRO,42,g1,294,11618,0.7449,0.74082,0.57309,0.37567,0.19742
Shared_Anchors_GDRO,42,g2,123,11618,0.71545,0.51909,0.53292,0.07576,0.45716
Shared_Anchors_GDRO,42,g3,200,11618,0.665,0.60164,0.64652,0.42112,0.2254
Shared_Anchors_GDRO,1337,g0,303,11618,0.69307,0.68429,0.65459,0.38184,0.27275
Shared_Anchors_GDRO,1337,g1,294,11618,0.70408,0.69521,0.61361,0.37567,0.23794
Shared_Anchors_GDRO,1337,g2,123,11618,0.73171,0.50091,0.53501,0.07576,0.45925
Shared_Anchors_GDRO,1337,g3,200,11618,0.625,0.52335,0.71701,0.42112,0.29589
Shared_Anchors_GDRO,7,g0,303,11618,0.68977,0.68488,0.62758,0.38184,0.24573
Shared_Anchors_GDRO,7,g1,294,11618,0.7381,0.73446,0.57747,0.37567,0.20179
Shared_Anchors_GDRO,7,g2,123,11618,0.73171,0.54229,0.5047,0.07576,0.42894
Shared_Anchors_GDRO,7,g3,200,11618,0.705,0.63774,0.61052,0.42112,0.1894
Shared_Anchors_GDRO,2024,g0,303,11618,0.70627,0.70399,0.60418,0.38184,0.22233
Shared_Anchors_GDRO,2024,g1,294,11618,0.7517,0.74965,0.55645,0.37567,0.18077
Shared_Anchors_GDRO,2024,g2,123,11618,0.71545,0.51482,0.50622,0.07576,0.43046
Shared_Anchors_GDRO,2024,g3,200,11618,0.665,0.58433,0.65141,0.42112,0.23029
Shared_Anchors_GDRO,31337,g0,303,11618,0.70627,0.70338,0.61864,0.38184,0.2368
Shared_Anchors_GDRO,31337,g1,294,11618,0.7517,0.7472,0.54443,0.37567,0.16876
Shared_Anchors_GDRO,31337,g2,123,11618,0.71545,0.5399,0.51675,0.07576,0.44098
Shared_Anchors_GDRO,31337,g3,200,11618,0.685,0.6137,0.65308,0.42112,0.23196
Shared_Anchors_GDRO,11,g0,303,11618,0.68647,0.6848,0.63815,0.38184,0.25631
Shared_Anchors_GDRO,11,g1,294,11618,0.7449,0.74133,0.57913,0.37567,0.20345
Shared_Anchors_GDRO,11,g2,123,11618,0.71545,0.49143,0.51242,0.07576,0.43666
Shared_Anchors_GDRO,11,g3,200,11618,0.665,0.58167,0.63969,0.42112,0.21857
Shared_Anchors_GDRO,22,g0,303,11618,0.69307,0.69,0.65741,0.38184,0.27556
Shared_Anchors_GDRO,22,g1,294,11618,0.7483,0.74587,0.5708,0.37567,0.19512
Shared_Anchors_GDRO,22,g2,123,11618,0.7561,0.54864,0.49619,0.07576,0.42042
Shared_Anchors_GDRO,22,g3,200,11618,0.695,0.62272,0.64552,0.42112,0.2244
Shared_Anchors_GDRO,33,g0,303,11618,0.66667,0.6581,0.65281,0.38184,0.27097
Shared_Anchors_GDRO,33,g1,294,11618,0.71429,0.70726,0.60159,0.37567,0.22592
Shared_Anchors_GDRO,33,g2,123,11618,0.70732,0.51695,0.57774,0.07576,0.50198
Shared_Anchors_GDRO,33,g3,200,11618,0.71,0.63983,0.68876,0.42112,0.26764
Shared_Anchors_GDRO,44,g0,303,11618,0.66337,0.66052,0.71895,0.38184,0.33711
Shared_Anchors_GDRO,44,g1,294,11618,0.7551,0.75273,0.61297,0.37567,0.2373
Shared_Anchors_GDRO,44,g2,123,11618,0.69919,0.52201,0.56474,0.07576,0.48898
Shared_Anchors_GDRO,44,g3,200,11618,0.69,0.59331,0.74024,0.42112,0.31912
Shared_Anchors_GDRO,55,g0,303,11618,0.73927,0.73671,0.58892,0.38184,0.20708
Shared_Anchors_GDRO,55,g1,294,11618,0.77211,0.76954,0.5449,0.37567,0.16923
Shared_Anchors_GDRO,55,g2,123,11618,0.74797,0.55773,0.51465,0.07576,0.43889
Shared_Anchors_GDRO,55,g3,200,11618,0.695,0.60661,0.66773,0.42112,0.24661
