method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
Ours_GDRO,44,g2,2338,0.7639,0.60885,0.47542,0.25257,0.22285
Ours_GDRO,55,g0,533,0.82552,0.62882,0.40266,0.27325,0.12941
Ours_GDRO,55,g1,530,0.75283,0.57824,0.45269,0.24321,0.20947
Ours_GDRO,55,g2,2338,0.75706,0.60857,0.4496,0.25257,0.19702
RegretDRO,42,g0,533,0.76735,0.61241,0.46353,0.27325,0.19028
RegretDRO,42,g1,530,0.79245,0.59925,0.43882,0.24321,0.19561
RegretDRO,42,g2,2338,0.7284,0.59104,0.48527,0.25257,0.2327
RegretDRO,1337,g0,533,0.77861,0.58311,0.85766,0.27325,0.58441
RegretDRO,1337,g1,530,0.82075,0.58627,0.55192,0.24321,0.30871
RegretDRO,1337,g2,2338,0.76176,0.60354,0.50502,0.25257,0.25245
RegretDRO,7,g0,533,0.77486,0.62785,0.647,0.27325,0.37375
RegretDRO,7,g1,530,0.79245,0.59092,0.62812,0.24321,0.3849
RegretDRO,7,g2,2338,0.76048,0.60247,0.49061,0.25257,0.23804
RegretDRO,2024,g0,533,0.73734,0.60436,0.42836,0.27325,0.15511
RegretDRO,2024,g1,530,0.79434,0.62353,0.37935,0.24321,0.13613
RegretDRO,2024,g2,2338,0.67622,0.56016,0.55048,0.25257,0.29791
RegretDRO,31337,g0,533,0.76548,0.59122,0.49948,0.27325,0.22623
RegretDRO,31337,g1,530,0.76415,0.60408,0.41633,0.24321,0.17311
RegretDRO,31337,g2,2338,0.72669,0.59329,0.461,0.25257,0.20842
RegretDRO,11,g0,533,0.78987,0.63529,0.38873,0.27325,0.11548
RegretDRO,11,g1,530,0.76604,0.59227,0.40325,0.24321,0.16003
RegretDRO,11,g2,2338,0.69932,0.57923,0.49331,0.25257,0.24074
RegretDRO,22,g0,533,0.79174,0.59395,0.61223,0.27325,0.33898
RegretDRO,22,g1,530,0.80943,0.59178,0.54329,0.24321,0.30008
RegretDRO,22,g2,2338,0.76005,0.60494,0.50226,0.25257,0.24968
RegretDRO,33,g0,533,0.77674,0.60404,0.69593,0.27325,0.42268
RegretDRO,33,g1,530,0.82453,0.59498,0.57935,0.24321,0.33613
RegretDRO,33,g2,2338,0.76604,0.60854,0.46978,0.25257,0.21721
RegretDRO,44,g0,533,0.73734,0.58188,0.59438,0.27325,0.32113
RegretDRO,44,g1,530,0.79811,0.58221,0.5107,0.24321,0.26749
RegretDRO,44,g2,2338,0.75877,0.60177,0.47448,0.25257,0.22191
RegretDRO,55,g0,533,0.80675,0.62322,0.68112,0.27325,0.40787
RegretDRO,55,g1,530,0.79245,0.56311,0.5956,0.24321,0.35238
RegretDRO,55,g2,2338,0.76604,0.6148,0.48417,0.25257,0.2316
Ours_Regret,42,g0,533,0.77111,0.60272,0.43526,0.27325,0.16201
Ours_Regret,42,g1,530,0.79057,0.59764,0.43283,0.24321,0.18962
Ours_Regret,42,g2,2338,0.74936,0.60155,0.46726,0.25257,0.21469
Ours_Regret,1337,g0,533,0.8349,0.60934,0.4217,0.27325,0.14845
Ours_Regret,1337,g1,530,0.79245,0.58215,0.36841,0.24321,0.12519
Ours_Regret,1337,g2,2338,0.73695,0.59411,0.46453,0.25257,0.21196
Ours_Regret,7,g0,533,0.82927,0.59328,0.43231,0.27325,0.15906
Ours_Regret,7,g1,530,0.78302,0.5913,0.43949,0.24321,0.19628
Ours_Regret,7,g2,2338,0.72327,0.58577,0.48542,0.25257,0.23285
Ours_Regret,2024,g0,533,0.78049,0.61408,0.48233,0.27325,0.20908
Ours_Regret,2024,g1,530,0.77925,0.60324,0.41108,0.24321,0.16787
Ours_Regret,2024,g2,2338,0.7237,0.58973,0.49959,0.25257,0.24701
Ours_Regret,31337,g0,533,0.77111,0.61561,0.45177,0.27325,0.17852
Ours_Regret,31337,g1,530,0.79623,0.58066,0.38158,0.24321,0.13837
Ours_Regret,31337,g2,2338,0.78101,0.62141,0.39826,0.25257,0.14569
Ours_Regret,11,g0,533,0.81801,0.56646,0.60591,0.27325,0.33266
Ours_Regret,11,g1,530,0.80943,0.61001,0.58701,0.24321,0.3438
Ours_Regret,11,g2,2338,0.78571,0.61095,0.59196,0.25257,0.33939
Ours_Regret,22,g0,533,0.79174,0.59805,0.57408,0.27325,0.30083
Ours_Regret,22,g1,530,0.79245,0.57759,0.50431,0.24321,0.26109
Ours_Regret,22,g2,2338,0.77502,0.61548,0.47769,0.25257,0.22512
Ours_Regret,33,g0,533,0.77486,0.53962,0.62968,0.27325,0.35643
Ours_Regret,33,g1,530,0.77736,0.57858,0.61439,0.24321,0.37117
Ours_Regret,33,g2,2338,0.77417,0.61546,0.60302,0.25257,0.35045
Ours_Regret,44,g0,533,0.8424,0.50998,0.62216,0.27325,0.34891
Ours_Regret,44,g1,530,0.87925,0.55716,0.58733,0.24321,0.34412
Ours_Regret,44,g2,2338,0.72968,0.58124,0.62107,0.25257,0.3685
Ours_Regret,55,g0,533,0.81051,0.62671,0.61352,0.27325,0.34027
Ours_Regret,55,g1,530,0.78868,0.56022,0.52685,0.24321,0.28364
Ours_Regret,55,g2,2338,0.76775,0.60927,0.47285,0.25257,0.22028
