method,seed,group,auroc,accuracy
Imputation_ERM,33,g1,0.5685297258810964,0.7849056603773585
Imputation_ERM,33,g2,0.7000734105430204,0.7352437981180496
Imputation_ERM,2024,g0,0.7513992537313432,0.6604127579737336
Imputation_ERM,2024,g1,0.6292077053914006,0.6584905660377358
Imputation_ERM,2024,g2,0.7057464031802001,0.7331052181351583
Imputation_ERM,44,g0,0.7824493603411514,0.6622889305816135
Imputation_ERM,44,g1,0.5750563664412008,0.7245283018867924
Imputation_ERM,44,g2,0.7084335060756622,0.7360992301112061
Imputation_ERM,31337,g0,0.7714052505330491,0.649155722326454
Imputation_ERM,31337,g1,0.6322534709861161,0.7433962264150943
Imputation_ERM,31337,g2,0.7129865427195934,0.7668947818648417
Imputation_ERM,42,g0,0.7657082889125799,0.6641651031894934
Imputation_ERM,42,g1,0.6069775720897117,0.7339622641509433
Imputation_ERM,42,g2,0.711096864321091,0.7728828058169376
Imputation_ERM,11,g0,0.7586620469083157,0.6660412757973734
Imputation_ERM,11,g1,0.6483525177010403,0.7037735849056603
Imputation_ERM,11,g2,0.7135445419953816,0.757912745936698
Imputation_Anchors_GDRO,33,g0,0.7473680703624734,0.8574108818011257
Imputation_Anchors_GDRO,33,g1,0.5331672006645307,0.9
Imputation_Anchors_GDRO,33,g2,0.6587319961137923,0.886655260906758
