method,seed,group,n,accuracy,macro_f1,loss,R_star,excess_loss
Ours_GDRO,2024,g2,2338,0.86142,0.28634,0.56456,0.26518,0.29939
Ours_GDRO,31337,g0,533,0.75985,0.36,0.6054,0.3002,0.30521
Ours_GDRO,31337,g1,530,0.84717,0.30769,0.46972,0.28288,0.18684
Ours_GDRO,31337,g2,2338,0.77246,0.36058,0.42739,0.26518,0.16222
Ours_GDRO,11,g0,533,0.73921,0.41841,0.44719,0.3002,0.14699
Ours_GDRO,11,g1,530,0.78679,0.35429,0.38546,0.28288,0.10258
Ours_GDRO,11,g2,2338,0.77374,0.37248,0.46647,0.26518,0.2013
Ours_GDRO,22,g0,533,0.76735,0.40952,0.51994,0.3002,0.21974
Ours_GDRO,22,g1,530,0.86226,0.34234,0.48622,0.28288,0.20335
Ours_GDRO,22,g2,2338,0.76176,0.33769,0.60818,0.26518,0.343
Ours_GDRO,33,g0,533,0.76173,0.36181,0.52568,0.3002,0.22548
Ours_GDRO,33,g1,530,0.81887,0.26154,0.44338,0.28288,0.1605
Ours_GDRO,33,g2,2338,0.75706,0.3618,0.44175,0.26518,0.17658
Ours_GDRO,44,g0,533,0.76923,0.34225,0.43264,0.3002,0.13244
Ours_GDRO,44,g1,530,0.79811,0.34356,0.3732,0.28288,0.09033
Ours_GDRO,44,g2,2338,0.74679,0.36617,0.44846,0.26518,0.18328
Ours_GDRO,55,g0,533,0.75797,0.37073,0.52437,0.3002,0.22417
Ours_GDRO,55,g1,530,0.82264,0.33803,0.44391,0.28288,0.16103
Ours_GDRO,55,g2,2338,0.76989,0.36105,0.41895,0.26518,0.15377
Ours_Regret,42,g0,533,0.74859,0.38532,0.47455,0.3002,0.17435
Ours_Regret,42,g1,530,0.79057,0.35838,0.40932,0.28288,0.12644
Ours_Regret,42,g2,2338,0.75877,0.37472,0.42687,0.26518,0.16169
Ours_Regret,1337,g0,533,0.79925,0.37427,0.43762,0.3002,0.13742
Ours_Regret,1337,g1,530,0.80377,0.31579,0.36729,0.28288,0.08441
Ours_Regret,1337,g2,2338,0.75192,0.375,0.44397,0.26518,0.1788
Ours_Regret,7,g0,533,0.75235,0.35922,0.52602,0.3002,0.22582
Ours_Regret,7,g1,530,0.78302,0.31138,0.48611,0.28288,0.20323
Ours_Regret,7,g2,2338,0.76861,0.3803,0.41462,0.26518,0.14945
Ours_Regret,2024,g0,533,0.82552,0.42945,0.47681,0.3002,0.17661
Ours_Regret,2024,g1,530,0.80377,0.33333,0.48146,0.28288,0.19859
Ours_Regret,2024,g2,2338,0.86056,0.28509,0.56349,0.26518,0.29832
Ours_Regret,31337,g0,533,0.77861,0.37895,0.40852,0.3002,0.10832
Ours_Regret,31337,g1,530,0.73962,0.34906,0.47182,0.28288,0.18894
Ours_Regret,31337,g2,2338,0.7793,0.38863,0.40971,0.26518,0.14453
Ours_Regret,11,g0,533,0.73921,0.41841,0.44875,0.3002,0.14855
Ours_Regret,11,g1,530,0.78868,0.35632,0.38415,0.28288,0.10127
Ours_Regret,11,g2,2338,0.76818,0.36977,0.47056,0.26518,0.20538
Ours_Regret,22,g0,533,0.76735,0.40952,0.52272,0.3002,0.22252
Ours_Regret,22,g1,530,0.86604,0.33645,0.484,0.28288,0.20113
Ours_Regret,22,g2,2338,0.75962,0.34038,0.60795,0.26518,0.34277
Ours_Regret,33,g0,533,0.73921,0.40343,0.47555,0.3002,0.17536
Ours_Regret,33,g1,530,0.83774,0.31746,0.33747,0.28288,0.05459
Ours_Regret,33,g2,2338,0.73268,0.36805,0.4646,0.26518,0.19942
Ours_Regret,44,g0,533,0.76735,0.34737,0.43465,0.3002,0.13445
Ours_Regret,44,g1,530,0.79623,0.30769,0.36854,0.28288,0.08567
Ours_Regret,44,g2,2338,0.75235,0.36721,0.44637,0.26518,0.18119
Ours_Regret,55,g0,533,0.76548,0.37186,0.54534,0.3002,0.24515
Ours_Regret,55,g1,530,0.81132,0.33333,0.44425,0.28288,0.16137
Ours_Regret,55,g2,2338,0.75278,0.36062,0.44132,0.26518,0.17615
